[INFO 17:50:13] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 17:50:13] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:50:13] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:50:13] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:50:14] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:50:14] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:50:14] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:50:50] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:50:50] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:50:50] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:50:56] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:50:56] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:50:56] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:51:32] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:51:32] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:51:32] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:51:32] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:51:32] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:51:32] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:52:11] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:52:11] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:52:11] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:52:30] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:52:30] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:52:30] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:52:36] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:52:36] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:52:36] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:52:39] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:52:39] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:52:39] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:52:44] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:52:44] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:52:44] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:53:19] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:53:19] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:53:19] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:53:29] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:53:29] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:53:29] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:53:36] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:53:36] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:53:36] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:56:33] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:56:33] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:56:33] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:58:00] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:58:00] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:58:00] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:58:33] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:58:33] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:58:33] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:59:18] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:59:18] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:59:18] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:00:24] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:00:24] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:00:24] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:01:01] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:01:01] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:01:01] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:03:18] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:03:18] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:03:18] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:05:13] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:05:13] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:05:13] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:08:54] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:08:54] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:08:54] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:13:15] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:13:15] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:13:15] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:13:19] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:13:19] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:13:19] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:24:38] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:24:38] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:24:38] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:24:54] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:24:54] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:24:54] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:25:44] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:25:44] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:25:44] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:26:01] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:26:01] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:26:01] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:26:32] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:26:32] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:26:32] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:26:51] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:26:51] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:26:51] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:28:48] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:28:48] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:28:48] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:29:02] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:29:02] catppuccin-noctis-icons.folders.associations changed, updating to undefined
