[INFO 18:53:45] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 18:53:45] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:53:45] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:53:45] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:53:47] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:53:47] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:53:47] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:53:54] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:53:54] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:53:54] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:54:54] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:54:54] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:54:54] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:54:55] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:54:55] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:54:55] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:54:56] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:54:56] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:54:56] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:57:34] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:57:34] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:57:34] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:57:37] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:57:37] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:57:37] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:57:58] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:57:58] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:57:58] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:59:33] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:59:33] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 18:59:33] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 18:59:52] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 18:59:52] catppuccin-noctis-icons.folders.associations changed, updating to undefined
