[INFO 17:51:33] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 17:51:33] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:51:33] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:51:33] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:51:35] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:51:35] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:51:35] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:51:36] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:51:36] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:51:36] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:51:50] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:51:50] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:51:50] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:51:55] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:51:55] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:51:55] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:52:49] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:52:49] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:52:49] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:53:02] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:53:02] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:53:02] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:53:04] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:53:04] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:53:04] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:53:31] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:53:31] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:53:31] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:53:35] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:53:35] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:53:35] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:55:14] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:55:14] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:55:14] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:55:55] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:55:55] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:55:55] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:56:28] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:56:28] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:56:28] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:57:39] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:57:39] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:57:39] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:58:07] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
