[INFO 19:19:56] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 19:19:56] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:19:56] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:19:56] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:19:57] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:19:57] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:19:57] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:19:57] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:19:57] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:19:57] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:21:23] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:21:23] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:21:23] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:21:25] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:21:25] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:21:25] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:21:34] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:21:34] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:21:34] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:21:39] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:21:39] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:21:39] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:21:49] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:21:49] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:21:49] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:21:50] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:21:50] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:21:50] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:22:00] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:22:00] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:22:00] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:22:01] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:22:01] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:22:01] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:22:02] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:22:02] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:22:02] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 19:22:28] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 19:22:28] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 19:22:28] catppuccin-noctis-icons.files.associations changed, updating to undefined
