[INFO 10:01:34] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 10:01:34] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:01:34] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:01:34] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:01:35] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:01:35] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:01:35] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:06:26] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:06:26] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:06:26] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:08:00] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:08:00] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:08:00] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:08:01] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:08:01] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:08:01] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:09:08] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:09:08] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:09:08] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:11:42] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:11:42] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:11:42] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:12:06] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:12:06] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:12:06] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:12:09] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:12:09] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:12:09] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:14:34] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:14:34] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:14:34] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:14:36] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:14:36] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:14:36] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:14:51] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:14:51] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:14:51] catppuccin-noctis-icons.files.associations changed, updating to undefined
